Post Number,Content,Reactions,Comments,Media Type,Image URL,Video URL,Article URL
1,"Celebrating their first day of school. Nazira Aset MA TESOL ’25 and her children Nafisa and Elgar commemorate the start of graduate school, 4th, and 2nd grade. ""Together, we can navigate these challenges and emerge stronger, all while enjoying the journey,"" she said.",6,0,Image,https://media.licdn.com/dms/image/v2/D5622AQHHupGGhSMRsQ/feedshare-shrink_800/feedshare-shrink_800/0/1725606436205?e=1738195200&v=beta&t=DnA5ncm4b5QBl_uVt-p-jqBTfKEF4Cin3taWsFZ8J7c; https://media.licdn.com/dms/image/v2/D5622AQGl2YX3E6aQbw/feedshare-shrink_800/feedshare-shrink_800/0/1725606437714?e=1738195200&v=beta&t=h_nIy5qgAU4U3kcnoDFwbt686VAmseOMI-p-_ucRDjk; https://media.licdn.com/dms/image/v2/D5622AQHxEYdQlzXeNw/feedshare-shrink_800/feedshare-shrink_800/0/1725606437729?e=1738195200&v=beta&t=6M7AxQZ_iaXCxEe8A7NysZCtmJdAE1nkVEfblOoNi4Q,No videos,No links
2,Expand your team with global talent. NYU Shanghai invites you to our 2024 Fall Career Fair on September 20. Network with students from over 37 countries and leading master's programs for potential full-time and internship opportunities. Free registration – don’t miss the deadline on Aug 9!   https://lnkd.in/gk76aR6A hashtag # NYUShanghai   hashtag # CareerFair,28,1,Image,https://media.licdn.com/dms/image/v2/D5622AQH7g--EhZZj-A/feedshare-shrink_800/feedshare-shrink_800/0/1722408709312?e=1738195200&v=beta&t=OuL_1zDIO3Z-0iK71xyPf1ZWYdvmGSsUjXYBSobni8k; https://media.licdn.com/dms/image/v2/D5622AQEk7Ex8ZHgt4g/feedshare-shrink_800/feedshare-shrink_800/0/1722408709728?e=1738195200&v=beta&t=tVTTXhgXUxCB5qnCcgM4i-z1c2k_-ZTki7agNMPkAnU; https://media.licdn.com/dms/image/v2/D5622AQHPqaQpgAh8Rg/feedshare-shrink_800/feedshare-shrink_800/0/1722408705229?e=1738195200&v=beta&t=SJmDLwLOSjeGoQAyda7r6GC2MMQJSh7nieo_ztS_jwI; https://media.licdn.com/dms/image/v2/D5622AQG9IU0lLjtxyQ/feedshare-shrink_800/feedshare-shrink_800/0/1722408709800?e=1738195200&v=beta&t=QFXrqn4HPIRUv7QlrxUKv8cmONh7bRhl0JMa6--Fqdo,No videos,https://www.linkedin.com/feed/hashtag/?keywords=nyushanghai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7224305749085011968; https://www.linkedin.com/feed/hashtag/?keywords=careerfair&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7224305749085011968; https://lnkd.in/gk76aR6A
3,"Meet   Adriano Albarosa (安达) , a global citizen and NYU Shanghai’s Business & Finance and Mandarin Chinese graduate! Find out about his unique college experience learning Chinese and studying abroad as well as his professional experience working across both Hong Kong and London at   J.P. Morgan .",14,0,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQFWudYhYibmEQ/articleshare-shrink_480/articleshare-shrink_480/0/1732262204174?e=1736175600&v=beta&t=2QVdpWjNzUI6Cj5cfFvAOtcDoKe1iaE4ySu23edno-c,No videos,https://www.linkedin.com/company/jpmorgan/; https://www.linkedin.com/in/ACoAACEVgDYBtENDY1fwkobTVMmjjwOYj2CJLp8
4,"🛶💡 What happens when   hashtag # GenZ   students and a fishing harbor join forces? NYU Shanghai students partnered with Qishierjia to promote its transformation into a rural   hashtag # tourism   hub. Through hands-on workshops and   hashtag # storytelling , they uncovered the beauty of this historic village and gave back through creativity. Take a peek at this meaningful collaboration! 🌟",1,0,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQH_XJdH3PxMow/articleshare-shrink_480/articleshare-shrink_480/0/1732511366045?e=1736175600&v=beta&t=QbnHpLyy0a8BaapLwwVGRzlKbA8fRjcgdLYCloZj30Y,No videos,https://www.linkedin.com/feed/hashtag/?keywords=genz&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7266948787670003715; https://www.linkedin.com/feed/hashtag/?keywords=storytelling&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7266948787670003715; https://www.linkedin.com/feed/hashtag/?keywords=tourism&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7266948787670003715
5,"🤝✨ “It’s not just about awareness—it’s about action.” Ally Week 2024 at NYU Shanghai united voices and perspectives to build a more caring, inclusive community.   hashtag # AllyWeek   hashtag # NYUShanghai",3,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQGBi_2kHWbjkA/articleshare-shrink_480/articleshare-shrink_480/0/1732507794696?e=1736175600&v=beta&t=BnoYDE8I48578j5aGc3MwQgWHAOa_xKUW_q4l16knvY,No videos,https://www.linkedin.com/feed/hashtag/?keywords=allyweek&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7266668052119740417; https://www.linkedin.com/feed/hashtag/?keywords=nyushanghai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7266668052119740417
6,"Brandon Shi   ’23 of   PlatePost   was into content creation as a hobby while at NYU Shanghai and watched as his videos racked up hundreds of thousands of views. It turned into a career, with Shi making videos for brands like Amazon, Lyft, and Adobe. Now he’s establishing himself in the start-up world and says the founder's life is where he’s meant to be.   hashtag # NYUShanghai   hashtag # Alumni",12,3,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQEluvxxk9qe8A/articleshare-shrink_480/articleshare-shrink_480/0/1732258419853?e=1736175600&v=beta&t=rOLXSQeIrjnfvJCvsH-h88-fkSXbgLJPgFRvVNm1CtE,No videos,https://www.linkedin.com/feed/hashtag/?keywords=alumni&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7265618910773690368; https://www.linkedin.com/feed/hashtag/?keywords=nyushanghai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A7265618910773690368; https://www.linkedin.com/in/ACoAAC4LZcMBZXwmAGN33DAcoodNZXGb52INQWk; https://www.linkedin.com/company/platepost/
7,"At NYU Shanghai, Professor Adam Brandenburger’s work in the Program on Creativity + Innovation (PCI) bridges multiple fields of study, offering a comprehensive approach to understanding creativity. Rather than teaching creativity as a skill, PCI provides students with a framework to identify, articulate, and apply their creative strengths.",13,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQEzrNUVC7jQbw/articleshare-shrink_480/articleshare-shrink_480/0/1732156905346?e=1736175600&v=beta&t=TfgLk9ski-ku1hZgdc_MLSojp2CpPScC8O4FaIGwPzg,No videos,No links
8,"Hats off to our undergraduates for an inspiring Fall 2024 Undergraduate Research Symposium! This year’s event featured research on everything from social sciences to STEM, all conducted under the guidance of our world-class faculty.",2,0,Article Link,https://media.licdn.com/dms/image/sync/v2/D4E27AQF-7NYkeo8iFg/articleshare-shrink_480/articleshare-shrink_480/0/1731645453793?e=1736175600&v=beta&t=7sz2tz5BiycfLDixEUPyGWVDWEXOgXrhkXk3RTnq20E,No videos,No links
9,"“A great discussion with students from America, China, and around the world at NYU Shanghai, the flagship US university in China,” said U.S. Ambassador Nicholas Burns during his visit to our New Bund campus. Ambassador Burns’ inspiring reflections on diplomacy and creativity left a lasting impression on students and faculty alike.",16,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQG3-vPquEUDqw/articleshare-shrink_480/articleshare-shrink_480/0/1734328009554?e=1736175600&v=beta&t=cCesUxBFOZCl9oCFeK-wb8BDLmZhw7dTsQ9_4AgU-NU,No videos,No links
10,"NYU Shanghai's first Special Promotion and Tenure Reception honored faculty who received tenure over the past three years, recognizing their hard work, excellent scholarship, and first-class teaching along their tenure journey.",15,1,Article Link,https://media.licdn.com/dms/image/sync/v2/D5627AQFcUM7PAozbSg/articleshare-shrink_480/articleshare-shrink_480/0/1730710704744?e=1736175600&v=beta&t=HoTqQ_rX8u-ZP_UQQOLYzv-Nw2Mx56gpAKayJYuKMAQ,No videos,No links
